dex,tradeSize,amountOut,effectivePrice,slippageBps,feeBps,gasEstimate,timestamp,error
Uniswap V3,10,0.325351049475916549,30.736031,0,30,87981,2025-10-02T13:15:57.594Z,
WOOFi,10,0,0,0,0,,2025-10-02T13:15:57.769Z,DEX not enabled
Pangolin,10,0.325301667101361545,30.740697,1,30,0,2025-10-02T13:15:57.769Z,
DODO,10,0,0,0,0,,2025-10-02T13:15:58.005Z,DEX not enabled
Dexalot,10,0,0,0,10,,2025-10-02T13:15:58.005Z,DEX not enabled
Balancer V2,10,0,0,0,0,,2025-10-02T13:15:58.005Z,DEX not enabled
The Arena,10,0,0,0,100,,2025-10-02T13:15:58.005Z,DEX not enabled
GMX,10,0,0,0,30,,2025-10-02T13:15:58.005Z,DEX not enabled
Hashflow,10,0,0,0,0,,2025-10-02T13:15:58.005Z,DEX not enabled
Cables Finance,10,0,0,0,0,,2025-10-02T13:15:58.005Z,DEX not enabled
Uniswap V3,50,1.626305539311006632,30.74453,0,30,88001,2025-10-02T13:15:58.256Z,
WOOFi,50,0,0,0,0,,2025-10-02T13:15:58.424Z,DEX not enabled
Pangolin,50,1.625773689890505689,30.754587,3,30,0,2025-10-02T13:15:58.424Z,
DODO,50,0,0,0,0,,2025-10-02T13:15:58.673Z,DEX not enabled
Dexalot,50,0,0,0,10,,2025-10-02T13:15:58.673Z,DEX not enabled
Balancer V2,50,0,0,0,0,,2025-10-02T13:15:58.674Z,DEX not enabled
The Arena,50,0,0,0,100,,2025-10-02T13:15:58.674Z,DEX not enabled
GMX,50,0,0,0,30,,2025-10-02T13:15:58.674Z,DEX not enabled
Hashflow,50,0,0,0,0,,2025-10-02T13:15:58.674Z,DEX not enabled
Cables Finance,50,0,0,0,0,,2025-10-02T13:15:58.674Z,DEX not enabled
Uniswap V3,100,3.251487507506017736,30.755154,0,30,87971,2025-10-02T13:15:58.881Z,
WOOFi,100,0,0,0,0,,2025-10-02T13:15:59.043Z,DEX not enabled
Pangolin,100,3.249712631161370753,30.771951,5,30,0,2025-10-02T13:15:59.043Z,
DODO,100,0,0,0,0,,2025-10-02T13:15:59.270Z,DEX not enabled
Dexalot,100,0,0,0,10,,2025-10-02T13:15:59.270Z,DEX not enabled
Balancer V2,100,0,0,0,0,,2025-10-02T13:15:59.270Z,DEX not enabled
The Arena,100,0,0,0,100,,2025-10-02T13:15:59.270Z,DEX not enabled
GMX,100,0,0,0,30,,2025-10-02T13:15:59.270Z,DEX not enabled
Hashflow,100,0,0,0,0,,2025-10-02T13:15:59.270Z,DEX not enabled
Cables Finance,100,0,0,0,0,,2025-10-02T13:15:59.270Z,DEX not enabled
Uniswap V3,500,16.212634143436275403,30.840145,0,30,118007,2025-10-02T13:15:59.482Z,
WOOFi,500,0,0,0,0,,2025-10-02T13:15:59.651Z,DEX not enabled
Pangolin,500,16.175544241419381119,30.910861,22,30,0,2025-10-02T13:15:59.652Z,
DODO,500,0,0,0,0,,2025-10-02T13:15:59.913Z,DEX not enabled
Dexalot,500,0,0,0,10,,2025-10-02T13:15:59.913Z,DEX not enabled
Balancer V2,500,0,0,0,0,,2025-10-02T13:15:59.913Z,DEX not enabled
The Arena,500,0,0,0,100,,2025-10-02T13:15:59.913Z,DEX not enabled
GMX,500,0,0,0,30,,2025-10-02T13:15:59.913Z,DEX not enabled
Hashflow,500,0,0,0,0,,2025-10-02T13:15:59.913Z,DEX not enabled
Cables Finance,500,0,0,0,0,,2025-10-02T13:15:59.913Z,DEX not enabled
Uniswap V3,1000,32.313961019500935904,30.946376,0,30,141670,2025-10-02T13:16:00.128Z,
WOOFi,1000,0,0,0,0,,2025-10-02T13:16:00.298Z,DEX not enabled
Pangolin,1000,32.170376659538550918,31.084497,44,30,0,2025-10-02T13:16:00.298Z,
DODO,1000,0,0,0,0,,2025-10-02T13:16:00.536Z,DEX not enabled
Dexalot,1000,0,0,0,10,,2025-10-02T13:16:00.536Z,DEX not enabled
Balancer V2,1000,0,0,0,0,,2025-10-02T13:16:00.536Z,DEX not enabled
The Arena,1000,0,0,0,100,,2025-10-02T13:16:00.536Z,DEX not enabled
GMX,1000,0,0,0,30,,2025-10-02T13:16:00.536Z,DEX not enabled
Hashflow,1000,0,0,0,0,,2025-10-02T13:16:00.536Z,DEX not enabled
Cables Finance,1000,0,0,0,0,,2025-10-02T13:16:00.536Z,DEX not enabled
Uniswap V3,5000,157.187064019043904533,31.809233,0,30,294724,2025-10-02T13:16:00.765Z,
WOOFi,5000,0,0,0,0,,2025-10-02T13:16:00.934Z,DEX not enabled
Pangolin,5000,153.971266985200114839,32.473591,204,30,0,2025-10-02T13:16:00.934Z,
DODO,5000,0,0,0,0,,2025-10-02T13:16:01.174Z,DEX not enabled
Dexalot,5000,0,0,0,10,,2025-10-02T13:16:01.174Z,DEX not enabled
Balancer V2,5000,0,0,0,0,,2025-10-02T13:16:01.174Z,DEX not enabled
The Arena,5000,0,0,0,100,,2025-10-02T13:16:01.174Z,DEX not enabled
GMX,5000,0,0,0,30,,2025-10-02T13:16:01.174Z,DEX not enabled
Hashflow,5000,0,0,0,0,,2025-10-02T13:16:01.174Z,DEX not enabled
Cables Finance,5000,0,0,0,0,,2025-10-02T13:16:01.174Z,DEX not enabled
Uniswap V3,10000,303.773445249852720656,32.919269,0,30,495119,2025-10-02T13:16:01.377Z,
WOOFi,10000,0,0,0,0,,2025-10-02T13:16:01.571Z,DEX not enabled
Pangolin,10000,292.312545471928249054,34.209958,377,30,0,2025-10-02T13:16:01.571Z,
DODO,10000,0,0,0,0,,2025-10-02T13:16:01.811Z,DEX not enabled
Dexalot,10000,0,0,0,10,,2025-10-02T13:16:01.811Z,DEX not enabled
Balancer V2,10000,0,0,0,0,,2025-10-02T13:16:01.811Z,DEX not enabled
The Arena,10000,0,0,0,100,,2025-10-02T13:16:01.811Z,DEX not enabled
GMX,10000,0,0,0,30,,2025-10-02T13:16:01.811Z,DEX not enabled
Hashflow,10000,0,0,0,0,,2025-10-02T13:16:01.811Z,DEX not enabled
Cables Finance,10000,0,0,0,0,,2025-10-02T13:16:01.811Z,DEX not enabled
Uniswap V3,25000,641.922324524953528905,38.945521,0,30,1665419,2025-10-02T13:16:02.066Z,
WOOFi,25000,0,0,0,0,,2025-10-02T13:16:02.226Z,DEX not enabled
Pangolin,25000,634.210973483809438365,39.419059,120,30,0,2025-10-02T13:16:02.226Z,
DODO,25000,0,0,0,0,,2025-10-02T13:16:02.450Z,DEX not enabled
Dexalot,25000,0,0,0,10,,2025-10-02T13:16:02.450Z,DEX not enabled
Balancer V2,25000,0,0,0,0,,2025-10-02T13:16:02.450Z,DEX not enabled
The Arena,25000,0,0,0,100,,2025-10-02T13:16:02.450Z,DEX not enabled
GMX,25000,0,0,0,30,,2025-10-02T13:16:02.450Z,DEX not enabled
Hashflow,25000,0,0,0,0,,2025-10-02T13:16:02.450Z,DEX not enabled
Cables Finance,25000,0,0,0,0,,2025-10-02T13:16:02.451Z,DEX not enabled
Uniswap V3,50000,794.267787640152129319,62.951061,0,30,2151376,2025-10-02T13:16:02.716Z,
WOOFi,50000,0,0,0,0,,2025-10-02T13:16:02.883Z,DEX not enabled
Pangolin,50000,1039.481711508505785639,48.100894,-3087,30,0,2025-10-02T13:16:02.883Z,
DODO,50000,0,0,0,0,,2025-10-02T13:16:03.089Z,DEX not enabled
Dexalot,50000,0,0,0,10,,2025-10-02T13:16:03.089Z,DEX not enabled
Balancer V2,50000,0,0,0,0,,2025-10-02T13:16:03.089Z,DEX not enabled
The Arena,50000,0,0,0,100,,2025-10-02T13:16:03.089Z,DEX not enabled
GMX,50000,0,0,0,30,,2025-10-02T13:16:03.089Z,DEX not enabled
Hashflow,50000,0,0,0,0,,2025-10-02T13:16:03.089Z,DEX not enabled
Cables Finance,50000,0,0,0,0,,2025-10-02T13:16:03.089Z,DEX not enabled
Uniswap V3,75000,794.609854197771667418,94.385942,0,30,2166843,2025-10-02T13:16:03.428Z,
WOOFi,75000,0,0,0,0,,2025-10-02T13:16:03.626Z,DEX not enabled
Pangolin,75000,1320.824145109629567751,56.782729,-6622,30,0,2025-10-02T13:16:03.626Z,
DODO,75000,0,0,0,0,,2025-10-02T13:16:03.844Z,DEX not enabled
Dexalot,75000,0,0,0,10,,2025-10-02T13:16:03.844Z,DEX not enabled
