run_id,timestamp_iso,dex,integration_kind,docs_url,chain_id,chain_name,direction,token_in_symbol,token_in_address,decimals_in,token_out_symbol,token_out_address,decimals_out,amount_in_tokens,amount_in_usd,amount_out_tokens,amount_out_usd,mid_price_out_per_in,effective_price_in_per_out,effective_price_usd_per_out,price_impact_bps,fee_bps,gas_estimate,gas_price,gas_cost_native,native_usd,gas_cost_usd,route_summary,sdk_or_api_version,quote_latency_ms,success,failure_reason
2025-10-02T15:30:44.203Z__ab9nhs,2025-10-02T15:30:44.204Z,Hypertrade Aggregator,aggregator_http,https://core.ht.xyz/api/v1/trade/getSwapInfo,999,HyperEVM,USDC->HYPE,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,WHYPE,0x5555555555555555555555555555555555555555,18,1.0,1,0.0203889283,1.000020048005043,0.0203889283,49.04622672099936,49.04622672099936,0,100,,,,,,0xb883…630f -> 0xb8ce…5ebb via gliquid (100%) | 0xb8ce…5ebb -> 0x5555…5555 via gliquid (100%),hypertrade-api@v1,3445.533614,1,
2025-10-02T15:30:44.203Z__ab9nhs,2025-10-02T15:30:44.204Z,Hypertrade Aggregator,aggregator_http,https://core.ht.xyz/api/v1/trade/getSwapInfo,999,HyperEVM,USDC->HYPE,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,WHYPE,0x5555555555555555555555555555555555555555,18,3.98,3.98,0.0811563496,3.980492521664616,0.020391042613065326,49.041141199874765,49.041141199874765,0,100,,,,,,0xb883…630f -> 0xb8ce…5ebb via gliquid (100%) | 0xb8ce…5ebb -> 0x5555…5555 via prjx-v3 (100%),hypertrade-api@v1,4036.311288,1,
2025-10-02T15:30:44.203Z__ab9nhs,2025-10-02T15:30:44.204Z,Hypertrade Aggregator,aggregator_http,https://core.ht.xyz/api/v1/trade/getSwapInfo,999,HyperEVM,USDC->HYPE,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,WHYPE,0x5555555555555555555555555555555555555555,18,2.51,2.51,0.051181656,2.51031742997976,0.02039109800796813,49.04100797363805,49.04100797363805,0,100,,,,,,0xb883…630f -> 0xb8ce…5ebb via gliquid (100%) | 0xb8ce…5ebb -> 0x5555…5555 via prjx-v3 (100%),hypertrade-api@v1,4648.052504,1,
2025-10-02T15:30:44.203Z__ab9nhs,2025-10-02T15:30:44.204Z,Hypertrade Aggregator,aggregator_http,https://core.ht.xyz/api/v1/trade/getSwapInfo,999,HyperEVM,USDC->HYPE,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,WHYPE,0x5555555555555555555555555555555555555555,18,10.0,10,0.2039092482,10.001179717407522,0.02039092482,49.04142449778303,49.04142449778303,0,100,,,,,,0xb883…630f -> 0xb8ce…5ebb via ramses-v3 (100%) | 0xb8ce…5ebb -> 0x5555…5555 via prjx-v3 (100%),hypertrade-api@v1,4652.123309,1,
2025-10-02T15:30:44.203Z__ab9nhs,2025-10-02T15:30:44.204Z,Hypertrade Aggregator,aggregator_http,https://core.ht.xyz/api/v1/trade/getSwapInfo,999,HyperEVM,USDC->HYPE,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,WHYPE,0x5555555555555555555555555555555555555555,18,1.58,1.58,0.0322184231,1.5802237636545509,0.020391407025316454,49.040264791854455,49.040264791854455,0,100,,,,,,0xb883…630f -> 0xb8ce…5ebb via gliquid (100%) | 0xb8ce…5ebb -> 0x5555…5555 via prjx-v3 (50%) + hyperswap-v3 (50%),hypertrade-api@v1,5745.2705000000005,1,
2025-10-02T15:30:44.203Z__ab9nhs,2025-10-02T15:30:44.204Z,Hypertrade Aggregator,aggregator_http,https://core.ht.xyz/api/v1/trade/getSwapInfo,999,HyperEVM,USDC->HYPE,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,WHYPE,0x5555555555555555555555555555555555555555,18,15.85,15.85,0.323208586,15.85247939134506,0.020391708895899054,49.03953881967727,49.03953881967727,0,100,,,,,,0xb883…630f -> 0xb8ce…5ebb via ramses-v3 (100%) | 0xb8ce…5ebb -> 0x5555…5555 via hyperswap-v3 (100%),hypertrade-api@v1,6675.343373000001,1,
2025-10-02T15:30:44.203Z__ab9nhs,2025-10-02T15:30:44.204Z,Hypertrade Aggregator,aggregator_http,https://core.ht.xyz/api/v1/trade/getSwapInfo,999,HyperEVM,USDC->HYPE,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,WHYPE,0x5555555555555555555555555555555555555555,18,6.31,6.31,0.1286719521,6.31100025575864,0.02039175152139461,49.03943631084462,49.03943631084462,0,100,,,,,,0xb883…630f -> 0xb8ce…5ebb via gliquid (100%) | 0xb8ce…5ebb -> 0x5555…5555 via hyperswap-v3 (100%),hypertrade-api@v1,6684.656394999999,1,
2025-10-02T15:30:44.203Z__ab9nhs,2025-10-02T15:30:44.204Z,Hypertrade Aggregator,aggregator_http,https://core.ht.xyz/api/v1/trade/getSwapInfo,999,HyperEVM,USDC->HYPE,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,WHYPE,0x5555555555555555555555555555555555555555,18,25.0,25,0.5097925079,25.003900191397957,0.020391700316,49.03955945328243,49.03955945328243,0,100,,,,,,0xb883…630f -> 0xb8ce…5ebb via ramses-v3 (100%) | 0xb8ce…5ebb -> 0x5555…5555 via hyperswap-v3 (100%),hypertrade-api@v1,2900.857363000001,1,
2025-10-02T15:30:44.203Z__ab9nhs,2025-10-02T15:30:44.204Z,Hypertrade Aggregator,aggregator_http,https://core.ht.xyz/api/v1/trade/getSwapInfo,999,HyperEVM,USDC->HYPE,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,WHYPE,0x5555555555555555555555555555555555555555,18,25.12,25.12,0.5122394904,25.123917855941787,0.020391699458598728,49.03956151522831,49.03956151522831,0,100,,,,,,0xb883…630f -> 0xb8ce…5ebb via ramses-v3 (100%) | 0xb8ce…5ebb -> 0x5555…5555 via hyperswap-v3 (100%),hypertrade-api@v1,4505.7656689999985,1,
2025-10-02T15:30:44.203Z__ab9nhs,2025-10-02T15:30:44.204Z,Hypertrade Aggregator,aggregator_http,https://core.ht.xyz/api/v1/trade/getSwapInfo,999,HyperEVM,USDC->HYPE,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,WHYPE,0x5555555555555555555555555555555555555555,18,39.81,39.81,0.8117929091,39.816177289138615,0.02039168322280834,49.03960056036415,49.03960056036415,0,100,,,,,,0xb883…630f -> 0xb8ce…5ebb via ramses-v3 (100%) | 0xb8ce…5ebb -> 0x5555…5555 via hyperswap-v3 (100%),hypertrade-api@v1,4685.758702000001,1,
2025-10-02T15:30:44.203Z__ab9nhs,2025-10-02T15:30:44.204Z,Hypertrade Aggregator,aggregator_http,https://core.ht.xyz/api/v1/trade/getSwapInfo,999,HyperEVM,USDC->HYPE,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,WHYPE,0x5555555555555555555555555555555555555555,18,50.0,50,1.0197794611,50.01733738225853,0.020395589222,49.03020889052499,49.03020889052499,0,100,,,,,,0xb883…630f -> 0xb8ce…5ebb via ramses-v3 (100%) | 0xb8ce…5ebb -> 0x5555…5555 via gliquid (100%),hypertrade-api@v1,4212.702578999999,1,
