run_id,timestamp_iso,dex,integration_kind,docs_url,chain_id,chain_name,direction,token_in_symbol,token_in_address,decimals_in,token_out_symbol,token_out_address,decimals_out,amount_in_tokens,amount_in_usd,amount_out_tokens,amount_out_usd,mid_price_out_per_in,effective_price_in_per_out,effective_price_usd_per_out,price_impact_bps,fee_bps,gas_estimate,gas_price,gas_cost_native,native_usd,gas_cost_usd,route_summary,sdk_or_api_version,quote_latency_ms,success,failure_reason
2025-10-02T16:49:36.295Z__s6i8fu,2025-10-02T16:49:36.296Z,Hypertrade Aggregator,aggregator_http,https://core.ht.xyz/api/v1/trade/getSwapInfo,999,HyperEVM,USDC->HYPE,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,WHYPE,0x5555555555555555555555555555555555555555,18,1.0,1,0.0203275294,0.9999831916226641,0.0203275294,49.1943698775317,49.1943698775317,0,100,,,,,,0xb883…630f -> 0xb8ce…5ebb via kittenswap_algebra (100%) | 0xb8ce…5ebb -> 0x5555…5555 via prjx-v3 (100%),hypertrade-api@v1,6934.846277,1,
2025-10-02T16:49:36.295Z__s6i8fu,2025-10-02T16:49:36.296Z,prjx-v3,dex_via_hypertrade,,999,HyperEVM,USDC->HYPE,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,WHYPE,0x5555555555555555555555555555555555555555,18,1,1,0.0203275294,,0.0203275294,49.1943698775317,49.1943698775317,0,500,,,,,,prjx-v3 pool 0xbd19e19e4b70eb7f248695a42208bc1edbbfb57d,hypertrade-api@v1,6934.846277,1,
2025-10-02T16:49:36.295Z__s6i8fu,2025-10-02T16:49:36.296Z,Hypertrade Aggregator,aggregator_http,https://core.ht.xyz/api/v1/trade/getSwapInfo,999,HyperEVM,USDC->HYPE,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,WHYPE,0x5555555555555555555555555555555555555555,18,1.58,1.58,0.0321173146,1.5799644968196278,0.02032741430379747,49.19464842182042,49.19464842182042,0,100,,,,,,0xb883…630f -> 0xb8ce…5ebb via kittenswap_algebra (100%) | 0xb8ce…5ebb -> 0x5555…5555 via prjx-v3 (100%),hypertrade-api@v1,3349.3623389999993,1,
2025-10-02T16:49:36.295Z__s6i8fu,2025-10-02T16:49:36.296Z,prjx-v3,dex_via_hypertrade,,999,HyperEVM,USDC->HYPE,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,WHYPE,0x5555555555555555555555555555555555555555,18,1.58,1.58,0.0321173146,,0.02032741430379747,49.19464842182042,49.19464842182042,0,500,,,,,,prjx-v3 pool 0xbd19e19e4b70eb7f248695a42208bc1edbbfb57d,hypertrade-api@v1,3349.3623389999993,1,
2025-10-02T16:49:36.295Z__s6i8fu,2025-10-02T16:49:36.296Z,Hypertrade Aggregator,aggregator_http,https://core.ht.xyz/api/v1/trade/getSwapInfo,999,HyperEVM,USDC->HYPE,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,WHYPE,0x5555555555555555555555555555555555555555,18,2.51,2.51,0.0510218058,2.509943397559949,0.02032741266932271,49.194652377435055,49.194652377435055,0,100,,,,,,0xb883…630f -> 0xb8ce…5ebb via kittenswap_algebra (100%) | 0xb8ce…5ebb -> 0x5555…5555 via prjx-v3 (100%),hypertrade-api@v1,3484.557036,1,
2025-10-02T16:49:36.295Z__s6i8fu,2025-10-02T16:49:36.296Z,prjx-v3,dex_via_hypertrade,,999,HyperEVM,USDC->HYPE,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,WHYPE,0x5555555555555555555555555555555555555555,18,2.51,2.51,0.0510218058,,0.02032741266932271,49.194652377435055,49.194652377435055,0,500,,,,,,prjx-v3 pool 0xbd19e19e4b70eb7f248695a42208bc1edbbfb57d,hypertrade-api@v1,3484.557036,1,
2025-10-02T16:49:36.295Z__s6i8fu,2025-10-02T16:49:36.296Z,Hypertrade Aggregator,aggregator_http,https://core.ht.xyz/api/v1/trade/getSwapInfo,999,HyperEVM,USDC->HYPE,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,WHYPE,0x5555555555555555555555555555555555555555,18,10.0,10,0.2032741243,9.999774374539394,0.02032741243,49.194652956623266,49.194652956623266,0,100,,,,,,0xb883…630f -> 0xb8ce…5ebb via kittenswap_algebra (100%) | 0xb8ce…5ebb -> 0x5555…5555 via prjx-v3 (100%),hypertrade-api@v1,4307.35788,1,
2025-10-02T16:49:36.295Z__s6i8fu,2025-10-02T16:49:36.296Z,prjx-v3,dex_via_hypertrade,,999,HyperEVM,USDC->HYPE,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,WHYPE,0x5555555555555555555555555555555555555555,18,10,10,0.2032741243,,0.02032741243,49.194652956623266,49.194652956623266,0,500,,,,,,prjx-v3 pool 0xbd19e19e4b70eb7f248695a42208bc1edbbfb57d,hypertrade-api@v1,4307.35788,1,
2025-10-02T16:49:36.295Z__s6i8fu,2025-10-02T16:49:36.296Z,Hypertrade Aggregator,aggregator_http,https://core.ht.xyz/api/v1/trade/getSwapInfo,999,HyperEVM,USDC->HYPE,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,WHYPE,0x5555555555555555555555555555555555555555,18,15.85,15.85,0.3221893153,15.849633936351108,0.02032740159621451,49.19467917563187,49.19467917563187,0,100,,,,,,0xb883…630f -> 0xb8ce…5ebb via kittenswap_algebra (100%) | 0xb8ce…5ebb -> 0x5555…5555 via prjx-v3 (100%),hypertrade-api@v1,4379.0901239999985,1,
2025-10-02T16:49:36.295Z__s6i8fu,2025-10-02T16:49:36.296Z,prjx-v3,dex_via_hypertrade,,999,HyperEVM,USDC->HYPE,USDC,0xb88339CB7199b77E23DB6E890353E22632Ba630f,6,WHYPE,0x5555555555555555555555555555555555555555,18,15.85,15.85,0.3221893153,,0.02032740159621451,49.19467917563187,49.19467917563187,0,500,,,,,,prjx-v3 pool 0xbd19e19e4b70eb7f248695a42208bc1edbbfb57d,hypertrade-api@v1,4379.0901239999985,1,
