iteration,fee_bps,reason
0,63,NONE
50,150,NONE
100,150,NONE
150,150,NONE
200,150,NONE
250,150,NONE
300,150,NONE
350,150,EMA
400,150,NONE
450,150,NONE
500,150,NONE
550,150,PYTH
600,150,NONE
650,150,NONE
700,150,EMA
750,150,NONE
800,150,NONE
850,150,NONE
900,150,NONE
950,150,NONE
1000,150,NONE
1050,150,EMA
1100,150,PYTH
1150,150,NONE
1200,150,NONE
1250,150,NONE
1300,150,NONE
1350,150,NONE
1400,150,EMA
1450,150,NONE
1500,150,NONE
1550,150,NONE
1600,150,NONE
1650,150,PYTH
1700,150,NONE
1750,150,EMA
1800,150,NONE
1850,150,NONE
1900,150,NONE
1950,150,NONE
2000,150,NONE
2050,150,NONE
2100,150,EMA
2150,150,NONE
2200,150,PYTH
2250,150,NONE
2300,150,NONE
2350,150,NONE
2400,150,NONE
2450,150,EMA
2500,150,NONE
2550,150,NONE
2600,150,NONE
2650,150,NONE
2700,150,NONE
2750,150,PYTH
2800,150,EMA
2850,150,NONE
2900,150,NONE
2950,150,NONE
3000,150,NONE
3050,150,NONE
3100,150,NONE
3150,150,NONE
3200,150,NONE
3250,150,NONE
3300,150,PYTH
3350,150,NONE
3400,150,NONE
3450,150,NONE
3500,150,EMA
3550,150,NONE
3600,150,NONE
3650,150,NONE
3700,150,NONE
3750,150,NONE
3800,150,NONE
3850,150,EMA
3900,150,NONE
3950,150,NONE
4000,150,NONE
4050,150,NONE
4100,150,NONE
4150,150,NONE
4200,150,EMA
4250,150,NONE
4300,150,NONE
4350,150,NONE
4400,150,PYTH
4450,150,NONE
4500,150,NONE
4550,150,EMA
4600,150,NONE
4650,150,NONE
4700,150,NONE
4750,150,NONE
4800,150,NONE
4850,150,NONE
4900,150,EMA
4950,150,NONE
